DVD_Bluray_Comb,year,date,rank,previous_rank,name,units_this_week,change,total_unites,spending_this_week,total_spending,weeks
dvd,2009,15-Feb,22,-,Horton Hears a Who!,"68,415",272%,"3,846,951","$1,030,590 ","$64,887,591 ",10
dvd,2009,15-Feb,23,10,Max Payne,"67,643",-43%,"968,874","$1,112,200 ","$18,548,233 ",4
dvd,2009,15-Feb,24,11,Saw V,"65,815",-43%,"904,598","$997,538 ","$18,492,350 ",4
dvd,2009,15-Feb,25,20,Step Brothers,"65,267",-6%,"3,183,539","$1,056,490 ","$55,555,501 ",11
dvd,2009,15-Feb,26,13,Pride and Glory,"62,707",-36%,"391,310","$1,203,974 ","$7,417,857 ",3
dvd,2009,15-Feb,27,26,My Best Friend's Girl,"53,654",-1%,"591,176","$1,074,572 ","$12,379,067 ",5
dvd,2009,15-Feb,28,21,Igor,"49,993",-26%,"399,565","$999,360 ","$7,987,304 ",4
dvd,2009,15-Feb,29,22,Eagle Eye,"49,544",-25%,"1,895,870","$770,057 ","$33,077,723 ",8
dvd,2009,15-Feb,30,27,Wanted,"48,813",12%,"3,980,907","$743,193 ","$66,684,752 ",11
dvd,2009,22-Feb,1,new,High School Musical 3: Senior Year,"1,556,576",,"1,556,576","$27,473,566 ","$27,473,566 ",1
dvd,2009,22-Feb,2,1,Madagascar: Escape 2 Africa,"471,954",-74%,"3,982,086","$8,312,431 ","$64,860,658 ",3
dvd,2009,22-Feb,3,new,Body of Lies,"406,111",,"406,111","$7,245,020 ","$7,245,020 ",1
dvd,2009,22-Feb,4,new,Changeling,"290,924",,"290,924","$4,803,155 ","$4,803,155 ",1
dvd,2009,22-Feb,5,new,Quarantine,"229,284",,"229,284","$4,578,801 ","$4,578,801 ",1
dvd,2009,22-Feb,6,2,Nights in Rodanthe,"149,276",-71%,"670,494","$2,536,199 ","$11,141,508 ",2
dvd,2009,22-Feb,7,3,Space Buddies,"145,540",-67%,"1,520,971","$2,181,645 ","$22,799,355 ",3
dvd,2009,22-Feb,8,6,Fireproof,"107,559",-38%,"1,095,856","$1,881,207 ","$18,851,344 ",4
dvd,2009,22-Feb,9,new,Religulous,"99,777",,"99,777","$1,994,542 ","$1,994,542 ",1
dvd,2009,22-Feb,10,14,The Dark Knight,"99,668",8%,"12,224,664","$1,605,024 ","$212,387,089 ",11
dvd,2009,22-Feb,11,5,Zack and Miri Make a Porno,"93,395",-48%,"690,264","$1,866,966 ","$12,541,968 ",3
dvd,2009,22-Feb,12,new,Still Waiting...,"75,961",,"75,961","$1,069,463 ","$1,069,463 ",1
dvd,2009,22-Feb,13,13,Tyler Perry's The Family That Preys,"73,034",-24%,"1,008,775","$1,313,882 ","$20,742,591 ",6
dvd,2009,22-Feb,14,11,Open Season 2,"73,003",-31%,"974,217","$1,276,822 ","$19,254,049 ",4
dvd,2009,22-Feb,15,22,Horton Hears a Who!,"69,808",2%,"3,916,759","$1,054,150 ","$65,941,741 ",11
dvd,2009,22-Feb,16,8,Miracle at St. Anna,"69,112",-52%,"211,894","$1,243,325 ","$3,811,973 ",2
